videoId,link
PO1GOVB7Ye4,https://www.youtube.com/watch?v=PO1GOVB7Ye4
-QMFzEhMQ94,https://www.youtube.com/watch?v=-QMFzEhMQ94
BJm2H7p2DMc,https://www.youtube.com/watch?v=BJm2H7p2DMc
XYxAxH4UCiM,https://www.youtube.com/watch?v=XYxAxH4UCiM
cYmPE2PoNdk,https://www.youtube.com/watch?v=cYmPE2PoNdk
2_wvhaHJwqU,https://www.youtube.com/watch?v=2_wvhaHJwqU
fR0VYUyMJeE,https://www.youtube.com/watch?v=fR0VYUyMJeE
NyUiNkZyJ8A,https://www.youtube.com/watch?v=NyUiNkZyJ8A
yBSifqsTzwA,https://www.youtube.com/watch?v=yBSifqsTzwA
grfDnKNxtZs,https://www.youtube.com/watch?v=grfDnKNxtZs
O1jdVGMYshs,https://www.youtube.com/watch?v=O1jdVGMYshs
WVsiSj3UZtM,https://www.youtube.com/watch?v=WVsiSj3UZtM
acqzBwhsXig,https://www.youtube.com/watch?v=acqzBwhsXig
kdwdIWogEzE,https://www.youtube.com/watch?v=kdwdIWogEzE
nk_1ol829_A,https://www.youtube.com/watch?v=nk_1ol829_A
-xEvDME5kys,https://www.youtube.com/watch?v=-xEvDME5kys
oBv-lu0LQ2E,https://www.youtube.com/watch?v=oBv-lu0LQ2E
uWssyB_FFKs,https://www.youtube.com/watch?v=uWssyB_FFKs
UwLitKx-mXc,https://www.youtube.com/watch?v=UwLitKx-mXc
84vzOt9sYwo,https://www.youtube.com/watch?v=84vzOt9sYwo
2dinl7-eka4,https://www.youtube.com/watch?v=2dinl7-eka4
C1rm8psg4_I,https://www.youtube.com/watch?v=C1rm8psg4_I
j6t38pXK7N0,https://www.youtube.com/watch?v=j6t38pXK7N0
hd1-PMh_3Qo,https://www.youtube.com/watch?v=hd1-PMh_3Qo
6D7Al4XZjqQ,https://www.youtube.com/watch?v=6D7Al4XZjqQ
OTpGq0Tc78g,https://www.youtube.com/watch?v=OTpGq0Tc78g
4mWOEaKWp5M,https://www.youtube.com/watch?v=4mWOEaKWp5M
Z6Vn7E7dNo0,https://www.youtube.com/watch?v=Z6Vn7E7dNo0
CtqpB6KPQgQ,https://www.youtube.com/watch?v=CtqpB6KPQgQ
wTxhk6WZjLQ,https://www.youtube.com/watch?v=wTxhk6WZjLQ
qCYE6hQofSw,https://www.youtube.com/watch?v=qCYE6hQofSw
hvHL2JFzris,https://www.youtube.com/watch?v=hvHL2JFzris
4cC7V-ZdSww,https://www.youtube.com/watch?v=4cC7V-ZdSww
H_9iCgHtJMs,https://www.youtube.com/watch?v=H_9iCgHtJMs
hCBo-u92IRM,https://www.youtube.com/watch?v=hCBo-u92IRM
PSS-6sySQsA,https://www.youtube.com/watch?v=PSS-6sySQsA
8tsv2RRDBUE,https://www.youtube.com/watch?v=8tsv2RRDBUE
X-K8RekTRxU,https://www.youtube.com/watch?v=X-K8RekTRxU
zOhxQeIHP6Y,https://www.youtube.com/watch?v=zOhxQeIHP6Y
yuEfcgar8bQ,https://www.youtube.com/watch?v=yuEfcgar8bQ
C0dKAYTk1Iw,https://www.youtube.com/watch?v=C0dKAYTk1Iw
7OGCphEZLJM,https://www.youtube.com/watch?v=7OGCphEZLJM
s0VoDB22Yeo,https://www.youtube.com/watch?v=s0VoDB22Yeo
j8CdRbyfgek,https://www.youtube.com/watch?v=j8CdRbyfgek
U0mKX8ENRdI,https://www.youtube.com/watch?v=U0mKX8ENRdI
gpAlq2pubIY,https://www.youtube.com/watch?v=gpAlq2pubIY
C4doyS9H8pg,https://www.youtube.com/watch?v=C4doyS9H8pg
RxBlBo834CQ,https://www.youtube.com/watch?v=RxBlBo834CQ
4XNip7Kv04E,https://www.youtube.com/watch?v=4XNip7Kv04E
3KEuXkImqHA,https://www.youtube.com/watch?v=3KEuXkImqHA
WsXVGuHK_SQ,https://www.youtube.com/watch?v=WsXVGuHK_SQ
eHL-dVCl9Ns,https://www.youtube.com/watch?v=eHL-dVCl9Ns
brHSCuR7g6s,https://www.youtube.com/watch?v=brHSCuR7g6s
hJNpFhLiFTw,https://www.youtube.com/watch?v=hJNpFhLiFTw
BY1zD31vfis,https://www.youtube.com/watch?v=BY1zD31vfis
6rJhdPM7izk,https://www.youtube.com/watch?v=6rJhdPM7izk
D8yDmI4gBFE,https://www.youtube.com/watch?v=D8yDmI4gBFE
RRHjpe1_LYQ,https://www.youtube.com/watch?v=RRHjpe1_LYQ
6-3zL0fBniY,https://www.youtube.com/watch?v=6-3zL0fBniY
WEZLhTbHy94,https://www.youtube.com/watch?v=WEZLhTbHy94
hbnTQMTUYJo,https://www.youtube.com/watch?v=hbnTQMTUYJo
UxDf1UPLLdU,https://www.youtube.com/watch?v=UxDf1UPLLdU
EQ-sbHtxBMs,https://www.youtube.com/watch?v=EQ-sbHtxBMs
YwNFSTk3ntY,https://www.youtube.com/watch?v=YwNFSTk3ntY
_bKGSfuEX-w,https://www.youtube.com/watch?v=_bKGSfuEX-w
ZAL-dp--cm8,https://www.youtube.com/watch?v=ZAL-dp--cm8
QbovokxE-DQ,https://www.youtube.com/watch?v=QbovokxE-DQ
s6oENbgQUnw,https://www.youtube.com/watch?v=s6oENbgQUnw
PE0BiQ4ZHLw,https://www.youtube.com/watch?v=PE0BiQ4ZHLw
TtHQ-P8om9k,https://www.youtube.com/watch?v=TtHQ-P8om9k
kUPX1QwrigE,https://www.youtube.com/watch?v=kUPX1QwrigE
gXw_ga8fdPk,https://www.youtube.com/watch?v=gXw_ga8fdPk
PoJK89Cwwpc,https://www.youtube.com/watch?v=PoJK89Cwwpc
MS2HDb77Ovc,https://www.youtube.com/watch?v=MS2HDb77Ovc
WPLeXLe71aU,https://www.youtube.com/watch?v=WPLeXLe71aU
MsCU842H4Fo,https://www.youtube.com/watch?v=MsCU842H4Fo
LOPu02kS7Yg,https://www.youtube.com/watch?v=LOPu02kS7Yg
vx_fNBVKLtU,https://www.youtube.com/watch?v=vx_fNBVKLtU
orQVrQEr44M,https://www.youtube.com/watch?v=orQVrQEr44M
4mzIjlDkuhE,https://www.youtube.com/watch?v=4mzIjlDkuhE
3zx2rbsOcQI,https://www.youtube.com/watch?v=3zx2rbsOcQI
JAPH-TxHiJ8,https://www.youtube.com/watch?v=JAPH-TxHiJ8
od1KhjrpC_A,https://www.youtube.com/watch?v=od1KhjrpC_A
1h3zyv_zNek,https://www.youtube.com/watch?v=1h3zyv_zNek
2nYh7oYf64A,https://www.youtube.com/watch?v=2nYh7oYf64A
w6iReFOGQ70,https://www.youtube.com/watch?v=w6iReFOGQ70
rUdGskQOXLk,https://www.youtube.com/watch?v=rUdGskQOXLk
uwY2vKqd9Ck,https://www.youtube.com/watch?v=uwY2vKqd9Ck
